Date,Month_year,YEAR,"Monthly amounts outstanding of monetary financial institutions' sterling net lending  to household sector (in sterling millions) seasonally adjusted  						[a] [b] [c] [d] [e] [f] [g] [h] [i] [j] [k] [l] 						LPMBC44","Monthly amounts outstanding of monetary financial institutions' sterling consumer credit lending excluding securitisations to individuals (in sterling millions) seasonally adjusted  						[a] [m] [n] [o] [p] [q] [r] [s] [d] [e] [f] [g] [j] [t] [l] 						LPMBC46","Monthly amounts outstanding of monetary financial institutions' sterling net credit card lending to individuals (in sterling millions) seasonally adjusted  						[a] [n] [u] [o] [v] [s] [e] [w] [g] 						LPMBC53","Monthly amounts outstanding of monetary financial institutions' sterling consumer credit (excluding credit card) excluding securitisations to individuals (in sterling millions) seasonally adjusted  						[x] [a] [m] [n] [y] [q] [z] [r] [r] [d] [1] [t] [l] 						LPMBC54","Monthly amounts outstanding of monetary financial institutions' sterling net secured lending to individuals (in sterling millions) seasonally adjusted  						[a] [m] [n] [2] [3] [4] [5] [6] [6] [c] [h] [i] [j] 						LPMBC55","Monthly amounts outstanding of monetary financial institutions' sterling net lending to other financial corporations (in sterling millions) seasonally adjusted  						[7] [a] [n] [3] [8] [9] [10] [11] [12] [13] [14] [15] [16] [16] [17] [17] [18] [19] [20] [21] [22] [23] [24] [25] [25] [26] [27] [28] [29] [29] [30] [31] [32] [33] [34] [35] [36] [k] [37] 						LPMBC56","Monthly amounts outstanding of monetary financial institutions' sterling net lending to private non-financial corporations (in sterling millions) seasonally adjusted  						[a] [38] [n] [39] [3] [40] [41] [42] [43] [44] [45] [46] [47] [48] [49] [28] [50] [50] [51] [52] [53] [54] [55] 						LPMBC57","Monthly amounts outstanding of monetary financial institutions' sterling net lending to unincorporated businesses and non-profit institutions serving households (in sterling millions) seasonally adjusted  						[a] [56] 						LPMBC58","Monthly amounts outstanding of monetary financial institutions' sterling Overdrafts and transit and suspense items with individuals (in sterling millions) seasonally adjusted  						[57] [l] 						LPMZ5G6","Monthly amounts outstanding of monetary financial institutions' sterling net consumer credit loans (excluding credit card and overdrafts) excluding securitisations to individuals (in sterling millions) seasonally adjusted  						[a] [57] [d] [1] [t] 						LPMZ5G7","Monthly amounts outstanding of monetary financial institutions' sterling loans  to private non-financial corporations (in sterling millions) seasonally adjusted  						[a] [58] [59] [3] [40] [41] [42] [43] [44] [46] [50] [50] [51] [52] [53] [54] [55] 						LPMZ5MO","Monthly amounts outstanding of monetary financial institutions' sterling holdings of securities issued by private non-financial corporations (in sterling millions) seasonally adjusted  						[38] [58] [59] [47] [28] 						LPMZ5MS"
31-Dec-10,Dec-10,10,1176760,126630,53114,73516,1005517,805924,448054,44613,11148,62368,426274,21780
30-Nov-10,Nov-10,10,1180804,129717,56279,73439,1005311,843857,455666,45775,10678,62760,433563,22103
31-Oct-10,Oct-10,10,1181980,131360,56176,75184,1004423,866001,459675,46196,11783,63401,438030,21645
30-Sep-10,Sep-10,10,1181211,131749,56209,75540,1003594,847474,469030,45868,11569,63971,447401,21629
31-Aug-10,Aug-10,10,1181264,132573,56387,76187,1002403,829532,471643,46288,11742,64445,451257,20386
31-Jul-10,Jul-10,10,1208992,133401,56408,76993,1029253,865996,473100,46338,11996,64997,453214,19886
30-Jun-10,Jun-10,10,1208527,133710,56511,77199,1028127,888039,475340,46690,11565,65635,455908,19431
31-May-10,May-10,10,1209688,136021,56993,79027,1026792,886126,476958,46876,11576,67452,456112,20847
30-Apr-10,Apr-10,10,1211218,137811,58114,79696,1025428,885362,480082,47980,11630,68066,458277,21805
31-Mar-10,Mar-10,10,1211790,138763,58455,80308,1024814,907526,481374,48214,11539,68769,460474,20900
28-Feb-10,Feb-10,10,1211942,140183,58741,81443,1024297,897421,482552,47462,11589,69853,463456,19097
31-Jan-10,Jan-10,10,1211187,140185,58773,81412,1022950,910928,486549,48052,12130,69281,464235,22314
31-Dec-11,Dec-11,11,1175425,117811,50555,67256,1014115,761999,423015,43499,10410,56846,404201,18814
30-Nov-11,Nov-11,11,1176988,118664,50855,67808,1014660,765475,428298,43665,10511,57297,407802,20496
31-Oct-11,Oct-11,11,1176864,119224,51197,68027,1014064,779816,427532,43576,10443,57584,406951,20582
30-Sep-11,Sep-11,11,1176694,119952,51497,68455,1012957,807475,434028,43785,10400,58055,411756,22272
31-Aug-11,Aug-11,11,1176791,120758,51580,69178,1012124,816073,435613,43909,10755,58423,411751,23862
31-Jul-11,Jul-11,11,1176197,121167,51843,69324,1011027,808882,440014,44003,10737,58587,411495,28519
30-Jun-11,Jun-11,11,1175628,121684,51869,69815,1010143,820382,440166,43801,10845,58969,413177,26989
31-May-11,May-11,11,1175392,122122,52092,70030,1009280,815149,439446,43991,10681,59348,416757,22689
30-Apr-11,Apr-11,11,1175338,123308,52238,71070,1008009,821927,443257,44021,10948,60122,420520,22737
31-Mar-11,Mar-11,11,1175743,123888,52664,71224,1007574,811006,443486,44280,10667,60557,420181,23305
28-Feb-11,Feb-11,11,1176886,124771,52945,71826,1007576,802394,446562,44538,10781,61045,421421,25141
31-Jan-11,Jan-11,11,1177141,125417,53099,72319,1007061,801419,448402,44663,10788,61531,424868,23534
31-Dec-12,Dec-12,12,1183557,111674,49970,61704,1035035,715955,406981,36848,10039,51665,387204,19777
30-Nov-12,Nov-12,12,1181435,110420,49618,60802,1034192,682630,412925,36823,10126,50676,389324,23600
31-Oct-12,Oct-12,12,1181578,111030,49797,61233,1033523,678853,414244,37025,10213,51020,392958,21286
30-Sep-12,Sep-12,12,1182142,112029,50076,61953,1033025,686751,415274,37087,10643,51310,394124,21150
31-Aug-12,Aug-12,12,1181415,111711,49807,61904,1032322,680251,417462,37381,10399,51505,396434,21027
31-Jul-12,Jul-12,12,1182018,112126,49950,62176,1032330,679930,419205,37561,10546,51630,399388,19818
30-Jun-12,Jun-12,12,1181046,113009,50273,62737,1030271,690330,421976,37765,10601,52136,400279,21697
31-May-12,May-12,12,1173020,112846,49663,63183,1022229,717190,421858,37945,10485,52698,401004,20854
30-Apr-12,Apr-12,12,1177599,113302,49845,63457,1021883,727346,421684,42414,10436,53021,399582,22101
31-Mar-12,Mar-12,12,1177169,114741,50215,64526,1019851,723126,424104,42577,10532,53995,400408,23695
29-Feb-12,Feb-12,12,1175632,114425,50012,64413,1018389,735200,422209,42818,10296,54117,400195,22014
31-Jan-12,Jan-12,12,1175577,115321,50379,64942,1017037,753750,424780,43218,10309,54632,403007,21774
31-Dec-13,Dec-13,13,1189457,107011,45133,61878,1048901,645956,394861,33545,9328,52550,371014,23848
30-Nov-13,Nov-13,13,1188876,107388,45465,61923,1047264,679005,394816,34224,8959,52964,370373,24443
31-Oct-13,Oct-13,13,1185326,107490,45438,62053,1043410,682781,392714,34426,9397,52655,369023,23692
30-Sep-13,Sep-13,13,1183960,107953,45567,62386,1041363,701118,389911,34644,9652,52734,369210,20702
31-Aug-13,Aug-13,13,1182706,107841,45427,62414,1040091,692194,392474,34774,9857,52557,369761,22713
31-Jul-13,Jul-13,13,1181437,107222,45341,61881,1039454,679210,395397,34761,9463,52417,372735,22661
30-Jun-13,Jun-13,13,1179150,105539,43941,61598,1038361,678457,394067,35250,9468,52130,373660,20407
31-May-13,May-13,13,1178050,105540,43574,61966,1037204,686121,396831,35306,9912,52054,374864,21967
30-Apr-13,Apr-13,13,1177717,105249,43337,61912,1036739,689251,401700,35729,9986,51926,377237,24463
31-Mar-13,Mar-13,13,1177851,105256,43304,61952,1035918,697156,406538,36677,9950,52002,383953,22585
28-Feb-13,Feb-13,13,1178331,105596,43206,62390,1035875,708498,407361,36860,10162,52228,384930,22431
31-Jan-13,Jan-13,13,1177577,105415,42847,62568,1035281,701585,412483,36880,10087,52481,388993,23490
31-Dec-14,Dec-14,14,1221194,114630,49356,65274,1074628,566603,372659,31935,8672,56602,351127,21533
30-Nov-14,Nov-14,14,1219329,114312,49211,65101,1072898,562973,379457,32119,8792,56308,353753,25704
31-Oct-14,Oct-14,14,1216833,113800,48859,64941,1070730,571083,376072,32303,8765,56175,355494,20578
30-Sep-14,Sep-14,14,1212718,111187,46562,64625,1069080,584469,379797,32451,8892,55734,358397,21399
31-Aug-14,Aug-14,14,1208600,109062,45482,63580,1067057,588340,385012,32481,8873,54707,360671,24342
31-Jul-14,Jul-14,14,1206647,108753,45370,63383,1065276,588488,386773,32618,8965,54418,360905,25868
30-Jun-14,Jun-14,14,1204100,108378,45317,63062,1063030,588300,384710,32692,8995,54066,361058,23652
31-May-14,May-14,14,1201962,108195,45322,62873,1060936,585332,387806,32831,9070,53802,361014,26792
30-Apr-14,Apr-14,14,1199711,107715,45302,62413,1059075,586122,384567,32920,9012,53401,361396,23171
31-Mar-14,Mar-14,14,1197143,107536,45270,62265,1056372,605499,381925,33235,9124,53142,362029,19896
28-Feb-14,Feb-14,14,1193959,107080,45204,61876,1053465,653568,386333,33414,9058,52818,367255,19078
31-Jan-14,Jan-14,14,1191568,106963,45197,61765,1051193,652818,394101,33412,9211,52554,368120,25980
31-Dec-15,Dec-15,15,1260942,119866,50733,69133,1109896,536012,369215,31180,8273,60860,345619,23596
30-Nov-15,Nov-15,15,1254519,119179,50494,68685,1104240,536962,368538,31100,8370,60315,345780,22758
31-Oct-15,Oct-15,15,1249857,118736,50296,68440,1099994,535395,365576,31126,8320,60120,345384,20192
30-Sep-15,Sep-15,15,1245650,118101,50254,67847,1096430,545567,362587,31119,8390,59457,344117,18470
31-Aug-15,Aug-15,15,1242440,117912,50149,67764,1093229,549142,363277,31299,8399,59365,343924,19354
31-Jul-15,Jul-15,15,1238704,117644,50248,67396,1089816,558120,367092,31244,8501,58896,344328,22764
30-Jun-15,Jun-15,15,1234480,116793,50077,66716,1086399,543876,369260,31288,8438,58277,343402,25859
31-May-15,May-15,15,1231403,116326,49977,66349,1083629,555051,373922,31448,8479,57869,347412,26510
30-Apr-15,Apr-15,15,1228706,116024,49976,66048,1081265,552918,373369,31417,8533,57515,349550,23820
31-Mar-15,Mar-15,15,1226745,115858,49736,66122,1079385,555391,374049,31503,8602,57520,352718,21331
28-Feb-15,Feb-15,15,1224230,114614,49624,64990,1077826,550149,370727,31790,8383,56606,350300,20428
31-Jan-15,Jan-15,15,1221504,115170,49555,65615,1074494,554545,369838,31840,8607,57007,350476,19362
31-Dec-16,Dec-16,16,1313177,127889,52648,75241,1155263,568049,376091,30025,8150,67091,352509,23582
30-Nov-16,Nov-16,16,1310766,127615,52590,75025,1152931,569638,373181,30220,8229,66796,353184,19997
31-Oct-16,Oct-16,16,1307990,126972,52422,74551,1150849,562102,373474,30168,8142,66409,353085,20389
30-Sep-16,Sep-16,16,1303519,126227,52044,74183,1147097,562385,377709,30194,8051,66132,352831,24878
31-Aug-16,Aug-16,16,1299632,125870,52194,73676,1143302,559729,380626,30460,8190,65485,354647,25979
31-Jul-16,Jul-16,16,1295689,125097,51994,73102,1140066,559848,376123,30526,8073,65030,353639,22484
30-Jun-16,Jun-16,16,1292009,124428,51762,72666,1136947,562485,371440,30634,8118,64548,352615,18825
31-May-16,May-16,16,1288172,123530,51522,72008,1133916,544927,368551,30726,8043,63965,350678,17874
30-Apr-16,Apr-16,16,1284879,122832,51224,71608,1131251,533326,368892,30796,8152,63456,350479,18413
31-Mar-16,Mar-16,16,1277203,122580,51305,71275,1123602,546727,368715,31020,8336,62939,350863,17852
29-Feb-16,Feb-16,16,1269969,121853,50895,70958,1117027,544577,367506,31089,8553,62405,351053,16453
31-Jan-16,Jan-16,16,1265990,121138,50944,70195,1113705,534200,368355,31146,8317,61877,349304,19051
31-Dec-17,Dec-17,17,1366092,132914,54828,78086,1204696,650335,363849,28481,9003,69083,335591,28258
30-Nov-17,Nov-17,17,1362453,132387,54641,77745,1201541,650709,362413,28525,8711,69034,335356,27057
31-Oct-17,Oct-17,17,1358692,132130,54376,77754,1197910,643927,364674,28652,8879,68875,335378,29296
30-Sep-17,Sep-17,17,1355665,131763,54223,77540,1194957,654230,366716,28945,8804,68736,335743,30973
31-Aug-17,Aug-17,17,1345720,131362,53943,77420,1185498,643290,361744,28859,8581,68839,328527,33218
31-Jul-17,Jul-17,17,1341989,131111,53843,77268,1181793,634919,362608,29085,8457,68811,328992,33617
30-Jun-17,Jun-17,17,1338627,130924,53618,77307,1178367,635074,396122,29336,8539,68768,361946,34175
31-May-17,May-17,17,1334306,130830,53467,77363,1173915,616469,391238,29562,8567,68796,361535,29703
30-Apr-17,Apr-17,17,1329281,130255,53464,76791,1169359,616001,387486,29667,8024,68767,359580,27905
31-Mar-17,Mar-17,17,1326558,130365,53165,77200,1166465,607696,386807,29728,8438,68763,358078,28729
28-Feb-17,Feb-17,17,1322096,129364,52923,76441,1162912,596718,382128,29819,8460,67981,354905,27224
31-Jan-17,Jan-17,17,1317436,128592,52700,75892,1159020,603327,379056,29825,8139,67752,354171,24885
31-Dec-18,Dec-18,18,1408497,134535,55603,78932,1246300,643060,405057,27662,8741,70191,383380,21678
30-Nov-18,Nov-18,18,1405085,134328,55566,78762,1243064,637631,404490,27694,8660,70102,382373,22117
31-Oct-18,Oct-18,18,1402014,134122,55488,78634,1240077,630572,405423,27815,8581,70053,379152,26271
30-Sep-18,Sep-18,18,1396014,134634,55507,79127,1233453,637911,405256,27927,8746,70381,377843,27412
31-Aug-18,Aug-18,18,1391407,133794,55445,78349,1229530,611043,405965,28083,8532,69817,377045,28921
31-Jul-18,Jul-18,18,1388787,133658,55357,78300,1226926,614632,405257,28203,8606,69695,376869,28388
30-Jun-18,Jun-18,18,1385668,133748,55412,78336,1223571,639433,404616,28349,8705,69631,375439,29177
31-May-18,May-18,18,1382230,133440,55215,78225,1220437,618012,397281,28353,8756,69469,372989,24291
30-Apr-18,Apr-18,18,1379202,133342,55087,78255,1217363,632767,392705,28497,8850,69404,372816,19889
31-Mar-18,Mar-18,18,1376260,133085,54898,78187,1214681,636468,359083,28494,8661,69525,338105,20978
28-Feb-18,Feb-18,18,1372313,133523,55044,78479,1210326,638981,360355,28464,8855,69624,337564,22792
31-Jan-18,Jan-18,18,1368700,132391,54717,77674,1207706,647768,359592,28603,8667,69007,335857,23735
31-Dec-19,Dec-19,19,1448468,131954,55130,76824,1289884,711176,416308,26630,7687,69137,392998,23310
30-Nov-19,Nov-19,19,1443958,133402,54810,78592,1283855,699489,418159,26701,7848,70744,394957,23203
31-Oct-19,Oct-19,19,1440966,133647,55258,78389,1280614,694212,418078,26705,7889,70500,394711,23367
30-Sep-19,Sep-19,19,1437312,133825,55266,78559,1276512,690738,418639,26975,7812,70747,391701,26938
31-Aug-19,Aug-19,19,1433969,133873,55321,78552,1273042,686049,415953,27054,7809,70743,389848,26105
31-Jul-19,Jul-19,19,1430031,133951,55454,78497,1268906,666942,413609,27174,7901,70596,387718,25891
30-Jun-19,Jun-19,19,1426621,134393,56031,78362,1264999,649658,412135,27229,8018,70344,388255,23880
31-May-19,May-19,19,1423574,134237,56063,78174,1262038,636262,407650,27298,7792,70383,385776,21874
30-Apr-19,Apr-19,19,1420978,134170,55954,78216,1259432,640861,406138,27375,7905,70311,385141,20997
31-Mar-19,Mar-19,19,1417911,134372,55950,78422,1255976,653402,408816,27563,8053,70369,386301,22515
28-Feb-19,Feb-19,19,1414453,134135,55943,78192,1252691,636973,405890,27626,7910,70282,385803,20087
31-Jan-19,Jan-19,19,1411433,134675,55659,79016,1249274,642994,406705,27483,8735,70281,386020,20685
31-Dec-20,Dec-20,20,1475243,112381,44038,68344,1328329,720262,457065,34533,5669,62674,428126,28939
30-Nov-20,Nov-20,20,1469719,113164,44361,68804,1322575,719725,452554,33979,5862,62942,428521,24033
31-Oct-20,Oct-20,20,1464932,114722,45361,69361,1316562,704636,449674,33649,5918,63443,427604,22070
30-Sep-20,Sep-20,20,1460445,115849,45934,69915,1311299,736168,451378,33297,5906,64008,429552,21826
31-Aug-20,Aug-20,20,1456979,117186,46719,70467,1307100,729190,450794,32693,5928,64539,430340,20454
31-Jul-20,Jul-20,20,1454809,118063,46832,71231,1304475,742830,453119,32271,6145,65086,432420,20699
30-Jun-20,Jun-20,20,1451908,118200,46359,71841,1302277,745129,454301,31431,6270,65571,433715,20585
31-May-20,May-20,20,1449598,119273,46824,72450,1301000,729230,450208,29324,6083,66367,431220,18988
30-Apr-20,Apr-20,20,1450071,122408,48469,73939,1300844,746046,435776,26818,6801,67139,419721,16055
31-Mar-20,Mar-20,20,1456977,128990,52819,76170,1301141,746526,436596,26846,7085,69085,419456,17140
29-Feb-20,Feb-20,20,1455915,131694,54850,76845,1297349,713345,409585,26871,7602,69243,390553,19032
31-Jan-20,Jan-20,20,1451928,131782,54981,76802,1293568,699602,414175,26578,7703,69098,392275,21900
31-Dec-21,Dec-21,21,1531760,109011,43158,65853,1390713,710615,453787,32036,6408,59445,426468,27319
30-Nov-21,Nov-21,21,1528468,108676,43091,65585,1387509,699152,451790,32284,6417,59168,425515,26275
31-Oct-21,Oct-21,21,1525061,108076,42868,65209,1384405,680982,453699,32580,6221,58988,426710,26989
30-Sep-21,Sep-21,21,1524711,109620,42562,67058,1382044,685227,450314,33047,5996,61062,423475,26839
31-Aug-21,Aug-21,21,1515769,109086,41990,67097,1373381,688047,454686,33302,6072,61025,426438,28247
31-Jul-21,Jul-21,21,1513306,108887,42009,66877,1370858,683517,455766,33561,6010,60867,427908,27858
30-Jun-21,Jun-21,21,1514998,108434,41505,66929,1372755,702757,459619,33809,5935,60993,430453,29166
31-May-21,May-21,21,1499522,108579,41562,67018,1356937,686655,451895,34006,5924,61094,423298,28597
30-Apr-21,Apr-21,21,1495156,108300,41129,67170,1352672,681049,455173,34184,5896,61274,425337,29836
31-Mar-21,Mar-21,21,1492988,108463,41219,67244,1350067,682587,461639,34458,6001,61243,430055,31583
28-Feb-21,Feb-21,21,1483656,108826,41359,67467,1340191,690480,455550,34639,5899,61568,427455,28095
31-Jan-21,Jan-21,21,1477945,109625,41956,67669,1333854,710233,454318,34466,5661,62008,426143,28176
31-Dec-22,Dec-22,22,1590849,113433,45575,67858,1448794,681238,451643,28622,6243,61615,429237,22406
30-Nov-22,Nov-22,22,1587500,113565,45465,68101,1444969,683513,451003,28965,5866,62235,427775,23228
31-Oct-22,Oct-22,22,1584017,113633,45159,68474,1441221,707195,454678,29164,6130,62344,428380,26298
30-Sep-22,Sep-22,22,1580770,113720,45181,68539,1437472,730343,454475,29579,6390,62149,428615,25860
31-Aug-22,Aug-22,22,1574578,113044,45033,68011,1431560,707146,455793,29974,6409,61602,429047,26746
31-Jul-22,Jul-22,22,1569515,112925,44830,68095,1426626,718323,457407,29964,6597,61498,428353,29054
30-Jun-22,Jun-22,22,1564913,112346,44691,67655,1422193,709577,455716,30374,6506,61149,428895,26820
31-May-22,May-22,22,1559937,111818,44547,67272,1417499,711850,462890,30619,6456,60816,430006,32884
30-Apr-22,Apr-22,22,1553516,111155,44248,66907,1411465,711583,462687,30897,6479,60428,429901,32786
31-Mar-22,Mar-22,22,1549264,110536,43932,66604,1407394,722459,460402,31335,6553,60051,429551,30851
28-Feb-22,Feb-22,22,1542782,109911,43517,66394,1401327,717586,452552,31544,6499,59894,428052,24500
31-Jan-22,Jan-22,22,1537503,108934,42767,66166,1396801,697290,451133,31768,6550,59616,427592,23541
31-Dec-23,Dec-23,23,1598689,119634,50254,69380,1453122,651621,443869,25933,5886,63494,426083,17786
30-Nov-23,Nov-23,23,1602086,121917,49930,71987,1454166,645294,443459,26003,5899,66088,426773,16685
31-Oct-23,Oct-23,23,1602030,120942,49270,71672,1454791,633399,443077,26297,5909,65763,426743,16333
30-Sep-23,Sep-23,23,1600997,120312,48996,71316,1454089,626474,442629,26596,5802,65514,427329,15300
31-Aug-23,Aug-23,23,1601269,119643,48378,71265,1454812,639918,443132,26815,5993,65271,427139,15993
31-Jul-23,Jul-23,23,1599750,118906,47961,70945,1453809,637509,443940,27035,5932,65013,427102,16839
30-Jun-23,Jun-23,23,1598550,118510,47735,70776,1452784,638934,445287,27257,6006,64770,426329,18958
31-May-23,May-23,23,1598832,118080,47380,70700,1453101,637523,450416,27651,6238,64462,427896,22520
30-Apr-23,Apr-23,23,1597824,117580,47030,70550,1452652,642825,453022,27592,6308,64242,427369,25653
31-Mar-23,Mar-23,23,1598719,116872,46650,70222,1454011,646411,455168,27837,6290,63932,426916,28253
28-Feb-23,Feb-23,23,1596973,116740,46525,70215,1452069,648911,448621,28164,6455,63760,427301,21320
31-Jan-23,Jan-23,23,1595283,115534,45780,69754,1451436,676067,450693,28312,6183,63571,426749,23943
31-Dec-24,Dec-24,24,1622828,126332,52675,73657,1472728,631201,461587,23767,5967,67690,441863,19724
30-Nov-24,Nov-24,24,1621953,125158,52313,72845,1473010,654873,458217,23786,5692,67153,437998,20219
31-Oct-24,Oct-24,24,1619946,125560,52500,73060,1470405,653221,454671,23981,6029,67031,437476,17195
30-Sep-24,Sep-24,24,1617581,125840,52157,73683,1467469,663756,453806,24272,5880,67802,433700,20106
31-Aug-24,Aug-24,24,1613650,124913,51815,73098,1464580,646361,452654,24158,5906,67191,432849,19805
31-Jul-24,Jul-24,24,1610517,124347,51534,72813,1461847,653495,453645,24323,5896,66917,431104,22541
30-Jun-24,Jun-24,24,1607159,123754,51432,72322,1458977,649405,454029,24428,5853,66469,429162,24867
31-May-24,May-24,24,1604534,123155,51194,71961,1456773,648291,450055,24606,5913,66048,428398,21657
30-Apr-24,Apr-24,24,1603688,121855,50778,71077,1456568,652269,447873,25266,5853,65224,427859,20014
31-Mar-24,Mar-24,24,1601872,121549,51065,70483,1454934,651868,450971,25390,5615,64868,427107,23864
29-Feb-24,Feb-24,24,1602532,121336,50819,70517,1455582,626351,445756,25614,6123,64394,426067,19689
31-Jan-24,Jan-24,24,1600426,120474,50308,70166,1454139,650395,444345,25814,5993,64173,426776,17569
31-Dec-25,Dec-25,25,1681615,135653,57013,78640,1524106,695059,498011,21855,6001,72639,474888,23123
30-Nov-25,Nov-25,25,1675840,134221,56567,77654,1519710,698484,492841,21909,6030,71623,469795,23047
31-Oct-25,Oct-25,25,1672294,133221,56226,76995,1517100,689326,482712,21973,5978,71018,465970,16742
30-Sep-25,Sep-25,25,1667115,132283,55824,76459,1512716,677629,483524,22116,6005,70453,465275,18249
31-Aug-25,Aug-25,25,1662763,131732,55569,76163,1508703,662062,479015,22327,6043,70120,461477,17538
31-Jul-25,Jul-25,25,1658021,130951,55198,75753,1504471,655980,475453,22599,6034,69718,457702,17752
30-Jun-25,Jun-25,25,1652825,130016,54614,75402,1500261,656019,473092,22549,6279,69123,454343,18749
31-May-25,May-25,25,1647399,129143,54462,74681,1495500,653161,471279,22755,5957,68724,450191,21088
