Yr_Month,Average price All property types,House price index All property types
2025 Mar,268019,102.7
2025 Apr,260162,99.7
2025 May,263656,101
2025 Jun,266437,102.1
2025 Jul,268735,103
2025 Aug,271070,103.9
2025 Sep,270291,103.6
2025 Oct,271289,104
2025 Nov,272119,104.3
2025 Dec,268620,102.9
