Date,GDP
Jul-16,0.4
Aug-16,0.4
Sep-16,0.4
Oct-16,0.6
Nov-16,0.6
Dec-16,0.6
Jan-17,1
Feb-17,1
Mar-17,1
Apr-17,0.9
May-17,0.9
Jun-17,0.9
Jul-17,0.7
Aug-17,0.7
Sep-17,0.7
Oct-17,0.8
Nov-17,0.8
Dec-17,0.8
Jan-18,0.1
Feb-18,0.1
Mar-18,0.1
Apr-18,0.2
May-18,0.2
Jun-18,0.2
Jul-18,0.3
Aug-18,0.3
Sep-18,0.3
Oct-18,0.1
Nov-18,0.1
Dec-18,0.1
Jan-19,0.5
Feb-19,0.5
Mar-19,0.5
Apr-19,0.2
May-19,0.2
Jun-19,0.2
Jul-19,0.6
Aug-19,0.6
Sep-19,0.6
Oct-19,0
Nov-19,0
Dec-19,0
Jan-20,-2.7
Feb-20,-2.7
Mar-20,-2.7
Apr-20,-19.9
May-20,-19.9
Jun-20,-19.9
Jul-20,17
Aug-20,17
Sep-20,17
Oct-20,1.4
Nov-20,1.4
Dec-20,1.4
Jan-21,-1.1
Feb-21,-1.1
Mar-21,-1.1
Apr-21,7
May-21,7
Jun-21,7
Jul-21,1.7
Aug-21,1.7
Sep-21,1.7
Oct-21,1.4
Nov-21,1.4
Dec-21,1.4
Jan-22,1
Feb-22,1
Mar-22,1
Apr-22,0.6
May-22,0.6
Jun-22,0.6
Jul-22,0.1
Aug-22,0.1
Sep-22,0.1
Oct-22,0.3
Nov-22,0.3
Dec-22,0.3
Jan-23,0.1
Feb-23,0.1
Mar-23,0.1
Apr-23,0
May-23,0
Jun-23,0
Jul-23,-0.2
Aug-23,-0.2
Sep-23,-0.2
Oct-23,-0.3
Nov-23,-0.3
Dec-23,-0.3
Jan-24,0.7
Feb-24,0.7
Mar-24,0.7
Apr-24,0.6
May-24,0.6
Jun-24,0.6
Jul-24,0.2
Aug-24,0.2
Sep-24,0.2
Oct-24,0.4
Nov-24,0.4
Dec-24,0.4
Jan-25,0.6
Feb-25,0.6
Mar-25,0.6
Apr-25,0.1
May-25,0.1
Jun-25,0.1
Jul-25,0.2
Aug-25,0.2
Sep-25,0.2
Oct-25,0.2
Nov-25,0.2
Dec-25,0.2
Jan-26,0.6
Feb-26,0.6
Mar-26,0.6
