Date,Rate
01-Nov-17,0.5
01-Dec-17,0.5
01-Jan-18,0.5
01-Feb-18,0.5
01-Mar-18,0.5
01-Apr-18,0.5
01-May-18,0.5
01-Jun-18,0.5
01-Jul-18,0.5
01-Aug-18,0.75
01-Sep-18,0.75
01-Oct-18,0.75
01-Nov-18,0.75
01-Dec-18,0.75
01-Jan-19,0.75
01-Feb-19,0.75
01-Mar-19,0.75
01-Apr-19,0.75
01-May-19,0.75
01-Jun-19,0.75
01-Jul-19,0.75
01-Aug-19,0.75
01-Sep-19,0.75
01-Oct-19,0.75
01-Nov-19,0.75
01-Dec-19,0.75
01-Jan-20,0.75
01-Feb-20,0.75
01-Mar-20,0.1
01-Apr-20,0.1
01-May-20,0.1
01-Jun-20,0.1
01-Jul-20,0.1
01-Aug-20,0.1
01-Sep-20,0.1
01-Oct-20,0.1
01-Nov-20,0.1
01-Dec-20,0.1
01-Jan-21,0.1
01-Feb-21,0.1
01-Mar-21,0.1
01-Apr-21,0.1
01-May-21,0.1
01-Jun-21,0.1
01-Jul-21,0.1
01-Aug-21,0.1
01-Sep-21,0.1
01-Oct-21,0.1
01-Nov-21,0.1
01-Dec-21,0.25
01-Jan-22,0.25
01-Feb-22,0.5
01-Mar-22,0.75
01-Apr-22,0.75
01-May-22,1
01-Jun-22,1.25
01-Jul-22,1.25
01-Aug-22,1.75
01-Sep-22,2.25
01-Oct-22,2.25
01-Nov-22,3
01-Dec-22,3.5
01-Jan-23,3.5
01-Feb-23,4
01-Mar-23,4.25
01-Apr-23,4.25
01-May-23,4.5
01-Jun-23,5
01-Jul-23,5
01-Aug-23,5.25
01-Sep-23,5.25
01-Oct-23,5.25
01-Nov-23,5.25
01-Dec-23,5.25
01-Jan-24,5.25
01-Feb-24,5.25
01-Mar-24,5.25
01-Apr-24,5.25
01-May-24,5.25
01-Jun-24,5.25
01-Jul-24,5.25
01-Aug-24,5
01-Sep-24,5
01-Oct-24,5
01-Nov-24,4.75
01-Dec-24,4.75
01-Jan-25,4.75
01-Feb-25,4.5
01-Mar-25,4.5
01-Apr-25,4.5
01-May-25,4.25
01-Jun-25,4.25
01-Jul-25,4.25
01-Aug-25,4
01-Sep-25,4
01-Oct-25,4
01-Nov-25,4
01-Dec-25,3.75
,
,
,
,
,
,
,
