Date,Year,Month,Bank_Rate,CPI,Unemployment_Rate,House_Price_Index,GDP_Growth,Current_Accounts,Savings_Accounts,Mortgage_Approvals,Consumer_Credit,Credit_Card_Lending
2010-11,2010,November,0.5,3.3,7.9,59.7,0.1,98501,272210,46127,73439,56279
2010-12,2010,December,0.5,3.7,7.9,59.6,0.1,105537,272710,41696,73516,53114
2011-01,2011,January,0.5,4,7.8,59.1,0.2,109563,274113,42881,72319,53099
2011-02,2011,February,0.5,4.4,7.8,58.7,0.2,108576,275155,47553,71826,52945
2011-03,2011,March,0.5,4,7.7,58.5,0.2,108915,275584,48277,71224,52664
2011-04,2011,April,0.5,4.5,7.8,59.4,0,108419,275950,46157,71070,52238
2011-05,2011,May,0.5,4.5,7.9,59.1,0,108597,277421,47040,70030,52092
2011-06,2011,June,0.5,4.2,8,59.2,0,107426,278182,49334,69815,51869
2011-07,2011,July,0.5,4.4,8.2,60,0.2,108473,278915,50940,69324,51843
2011-08,2011,August,0.5,4.5,8.3,60,0.2,108190,279499,52939,69178,51580
2011-09,2011,September,0.5,5.2,8.4,59.9,0.2,109924,279683,50846,68455,51497
2011-10,2011,October,0.5,5,8.5,59.2,0.1,109838,278283,51719,68027,51197
2011-11,2011,November,0.5,4.8,8.4,59.2,0.1,108688,278965,52126,67808,50855
2011-12,2011,December,0.5,4.2,8.3,59,0.1,111103,279964,51620,67256,50555
2012-01,2012,January,0.5,3.6,8.3,58.6,0.9,113190,281880,55572,64942,50379
2012-02,2012,February,0.5,3.4,8.2,58.4,0.9,113130,283373,50454,64413,50012
2012-03,2012,March,0.5,3.5,8.2,58.6,0.9,114807,284798,51196,64526,50215
2012-04,2012,April,0.5,3,8.1,59.3,-0.1,114056,285965,51930,63457,49845
2012-05,2012,May,0.5,2.8,8,59.4,-0.1,113532,286471,49357,63183,49663
2012-06,2012,June,0.5,2.4,8,60,-0.1,114678,285325,47812,62737,50273
2012-07,2012,July,0.5,2.6,7.9,60.3,1,115828,287030,47262,62176,49950
2012-08,2012,August,0.5,2.5,7.8,60.3,1,117408,286378,48101,61904,49807
2012-09,2012,September,0.5,2.2,7.8,60.1,1,116176,285576,50329,61953,50076
2012-10,2012,October,0.5,2.7,7.8,59.7,-0.1,115949,284741,52314,61233,49797
2012-11,2012,November,0.5,2.7,7.8,59.7,-0.1,117752,282450,53054,60802,49618
2012-12,2012,December,0.5,2.7,7.8,59.6,-0.1,118296,280146,54557,61704,49970
2013-01,2013,January,0.5,2.7,8,59.2,0.3,118314,276394,52210,62568,42847
2013-02,2013,February,0.5,2.8,7.8,59.2,0.3,119381,272996,52589,62390,43206
2013-03,2013,March,0.5,2.8,7.8,59.5,0.3,120160,271335,54528,61952,43304
2013-04,2013,April,0.5,2.4,7.7,60.1,0.7,121325,268105,56014,61912,43337
2013-05,2013,May,0.5,2.7,7.7,60.4,0.7,121300,265147,59137,61966,43574
2013-06,2013,June,0.5,2.9,7.7,61,0.7,122943,261041,58885,61598,43941
2013-07,2013,July,0.5,2.8,7.7,61.6,0.8,125572,258826,60737,61881,45341
2013-08,2013,August,0.5,2.7,7.6,62.1,0.8,126574,255210,62777,62414,45427
2013-09,2013,September,0.5,2.7,7.4,62.2,0.8,128385,252516,67286,62386,45567
2013-10,2013,October,0.5,2.2,7.2,61.9,0.7,129822,247349,68504,62053,45438
2013-11,2013,November,0.5,2.1,7.2,62.3,0.7,131202,244597,70508,61923,45465
2013-12,2013,December,0.5,2,7.1,62.8,0.7,131131,237980,71853,61878,45133
2014-01,2014,January,0.5,1.9,6.9,62.9,0.8,133157,235244,74042,61765,45197
2014-02,2014,February,0.5,1.7,6.7,63.2,0.8,134568,232882,70102,61876,45204
2014-03,2014,March,0.5,1.6,6.6,63.4,0.8,136655,230060,68226,62265,45270
2014-04,2014,April,0.5,1.8,6.4,64.8,0.9,136248,228166,65163,62413,45302
2014-05,2014,May,0.5,1.5,6.3,65.5,0.9,138407,225662,62183,62873,45322
2014-06,2014,June,0.5,1.9,6.1,66,0.9,140336,223641,67793,63062,45317
2014-07,2014,July,0.5,1.6,6,67,0.8,141029,220683,66787,63383,45370
2014-08,2014,August,0.5,1.5,6,67.8,0.8,142465,218160,65438,63580,45482
2014-09,2014,September,0.5,1.2,5.9,67.8,0.8,144144,215157,62093,64625,46562
2014-10,2014,October,0.5,1.3,5.9,67.7,0.7,145288,213907,60409,64941,48859
2014-11,2014,November,0.5,1,5.7,67.5,0.7,145714,213253,59568,65101,49211
2014-12,2014,December,0.5,0.5,5.6,67.7,0.7,147210,212323,60159,65274,49356
2015-01,2015,January,0.5,0.3,5.6,67.3,0.3,149962,208007,58962,65615,49555
2015-02,2015,February,0.5,0,5.5,67.4,0.3,151941,206207,61473,64990,49624
2015-03,2015,March,0.5,0,5.5,67.6,0.3,151892,204075,62779,66122,49736
2015-04,2015,April,0.5,-0.1,5.6,68.2,0.5,153448,202807,69009,66048,49976
2015-05,2015,May,0.5,0.1,5.6,68.9,0.5,155569,200947,65408,66349,49977
2015-06,2015,June,0.5,0,5.5,69.5,0.5,156821,192278,68077,66716,50077
2015-07,2015,July,0.5,0.1,5.4,70.7,0.4,158223,190817,70762,67396,50248
2015-08,2015,August,0.5,0,5.3,71.3,0.4,161106,190100,72262,67764,50149
2015-09,2015,September,0.5,-0.1,5.2,71.4,0.4,160825,189691,71176,67847,50254
2015-10,2015,October,0.5,-0.1,5.1,71.5,0.6,163733,189354,70076,68440,50296
2015-11,2015,November,0.5,0.1,5.1,72.1,0.6,164601,188959,70488,68685,50494
2015-12,2015,December,0.5,0.2,5.1,72.3,0.6,167773,187428,71270,69133,50733
2016-01,2016,January,0.5,0.3,5.1,72.5,0.5,169093,187029,72480,70195,50944
2016-02,2016,February,0.5,0.3,5.1,72.6,0.5,169999,187405,71872,70958,50895
2016-03,2016,March,0.5,0.5,5,73.3,0.5,171237,186105,70724,71275,51305
2016-04,2016,April,0.5,0.3,4.9,73.6,0.7,175219,185292,68709,71608,51224
2016-05,2016,May,0.5,0.3,4.9,74.4,0.7,163329,184693,67883,72008,51522
2016-06,2016,June,0.5,0.5,4.9,75.2,0.7,163518,183922,65573,72666,51762
2016-07,2016,July,0.5,0.6,5,75.9,0.4,165483,185656,62624,73102,51994
2016-08,2016,August,0.25,0.6,4.8,76,0.4,164164,185029,61427,73676,52194
2016-09,2016,September,0.25,1,4.8,75.8,0.4,167487,184524,64243,74183,52044
2016-10,2016,October,0.25,0.9,4.8,75.6,0.6,169853,182718,67909,74551,52422
2016-11,2016,November,0.25,1.2,4.7,75.9,0.6,169145,180716,68392,75025,52590
2016-12,2016,December,0.25,1.6,4.7,76.1,0.6,174776,178951,68366,75241,52648
2017-01,2017,January,0.25,1.8,4.6,76,1,177938,176946,68006,75892,52700
2017-02,2017,February,0.25,2.3,4.6,76.1,1,178152,176759,68139,76441,52923
2017-03,2017,March,0.25,2.3,4.5,76,1,179995,175664,68044,77200,53165
2017-04,2017,April,0.25,2.7,4.4,77.2,0.9,182666,175934,67102,76791,53464
2017-05,2017,May,0.25,2.9,4.4,77.6,0.9,178935,174355,66022,77363,53467
2017-06,2017,June,0.25,2.6,4.3,78.3,0.9,182052,173085,65378,77307,53618
2017-07,2017,July,0.25,2.6,4.3,79.3,0.7,184402,172502,68522,77268,53843
2017-08,2017,August,0.25,2.9,4.3,79.7,0.7,183605,172111,66885,77420,53943
2017-09,2017,September,0.25,3,4.2,79.4,0.7,186272,171086,66321,77540,54223
2017-10,2017,October,0.25,3,4.3,79.5,0.8,187839,169837,65208,77754,54376
2017-11,2017,November,0.5,3.1,4.4,79.2,0.8,188398,170487,65678,77745,54641
2017-12,2017,December,0.5,3,4.3,79.5,0.8,188932,170919,62311,78086,54828
2018-01,2018,January,0.5,3,4.2,79.3,0.1,157685,170184,65855,77674,54717
2018-02,2018,February,0.5,2.7,4.2,79.5,0.1,157608,169041,63000,78479,55044
2018-03,2018,March,0.5,2.5,4.2,79,0.1,158623,168580,63110,78187,54898
2018-04,2018,April,0.5,2.4,4.2,79.8,0.2,160760,166177,63309,78255,55087
2018-05,2018,May,0.5,2.4,4,80.1,0.2,161177,166005,65095,78225,55215
2018-06,2018,June,0.5,2.4,4,80.6,0.2,162862,165817,65901,78336,55412
2018-07,2018,July,0.5,2.5,4,81.6,0.3,164355,164633,64744,78300,55357
2018-08,2018,August,0.75,2.7,4.1,81.9,0.3,165297,163899,66769,78349,55445
2018-09,2018,September,0.75,2.4,4.1,81.7,0.3,164929,164159,65991,79127,55507
2018-10,2018,October,0.75,2.4,4,81.6,0.1,165126,164569,68257,78634,55488
2018-11,2018,November,0.75,2.3,4,81.3,0.1,169622,163665,64956,78762,55566
2018-12,2018,December,0.75,2.1,3.9,81.1,0.1,170384,164197,64429,78932,55603
2019-01,2019,January,0.75,1.8,4,80.6,0.5,168864,164670,65119,79016,55659
2019-02,2019,February,0.75,1.9,3.8,80.4,0.5,169393,165108,64153,78192,55943
2019-03,2019,March,0.75,1.9,3.8,80.2,0.5,169341,166157,62218,78422,55950
2019-04,2019,April,0.75,2.1,3.8,80.8,0.2,170348,166353,65896,78216,55954
2019-05,2019,May,0.75,2,3.9,80.9,0.2,171104,166883,65540,78174,56063
2019-06,2019,June,0.75,2,3.9,81.2,0.2,170802,166897,66570,78362,56031
2019-07,2019,July,0.75,2.1,3.9,82.1,0.6,171226,167119,67217,78497,55454
2019-08,2019,August,0.75,1.7,3.9,82.4,0.6,173283,166992,66013,78552,55321
2019-09,2019,September,0.75,1.7,3.8,82.4,0.6,174793,166750,66212,78559,55266
2019-10,2019,October,0.75,1.5,3.8,82.2,0,175542,166928,66356,78389,55258
2019-11,2019,November,0.75,1.5,3.7,81.9,0,180328,167966,66628,78592,54810
2019-12,2019,December,0.75,1.3,3.9,81.8,0,181533,167409,67602,76824,55130
2020-01,2020,January,0.75,1.8,3.9,81.9,-2.7,182292,167485,69513,76802,54981
2020-02,2020,February,0.75,1.7,4.1,81.4,-2.7,183173,168138,71609,76845,54850
2020-03,2020,March,0.1,1.5,4.1,82.1,-2.7,190051,166680,56247,76170,52819
2020-04,2020,April,0.1,0.8,4.1,81.3,-19.9,190383,167023,15936,73939,48469
2020-05,2020,May,0.1,0.5,4.1,81.7,-19.9,199840,167088,9369,72450,46824
2020-06,2020,June,0.1,0.6,4.4,82.9,-19.9,202732,165407,40299,71841,46359
2020-07,2020,July,0.1,1,4.6,83.6,17,206675,162052,66552,71231,46832
2020-08,2020,August,0.1,0.2,5,84.4,17,211087,159362,85159,70467,46719
2020-09,2020,September,0.1,0.5,5.2,85.3,17,211384,157163,92539,69915,45934
2020-10,2020,October,0.1,0.7,5.2,86,1.4,216706,159008,100895,69361,45361
2020-11,2020,November,0.1,0.3,5.3,86.9,1.4,220791,159670,107780,68804,44361
2020-12,2020,December,0.1,0.6,5.2,87.5,1.4,226428,158236,103386,68344,44038
2021-01,2021,January,0.1,0.7,5,87.5,-1.1,231294,157861,97196,67669,41956
2021-02,2021,February,0.1,0.4,4.9,87.8,-1.1,235480,157248,84509,67467,41359
2021-03,2021,March,0.1,0.7,4.8,89.1,-1.1,235781,155684,81078,67244,41219
2021-04,2021,April,0.1,1.5,4.8,87.8,7,243115,152953,85391,67170,41129
2021-05,2021,May,0.1,2.1,4.7,88.3,7,242301,151579,86153,67018,41562
2021-06,2021,June,0.1,2.5,4.6,93,7,243244,150028,79149,66929,41505
2021-07,2021,July,0.1,2,4.5,88.7,1.7,246015,149801,72343,66877,42009
2021-08,2021,August,0.1,3.2,4.4,91.4,1.7,247273,149623,70895,67097,41990
2021-09,2021,September,0.1,3.1,4.3,94,1.7,248460,148703,70466,67058,42562
2021-10,2021,October,0.1,4.2,4.2,91.7,1.4,255647,149618,68333,65209,42868
2021-11,2021,November,0.1,5.1,4.2,93.5,1.4,258170,150087,69386,65585,43091
2021-12,2021,December,0.25,5.4,4.1,94,1.4,258516,149426,72810,65853,43158
2022-01,2022,January,0.25,5.5,3.9,95.1,1,262166,149458,74047,66166,42767
2022-02,2022,February,0.5,6.2,3.8,95.2,1,263169,149485,68333,66394,43517
2022-03,2022,March,0.75,7,3.8,95.5,1,265146,149833,68906,66604,43932
2022-04,2022,April,0.75,9,3.7,96.6,0.6,265416,150588,66065,66907,44248
2022-05,2022,May,1,9.1,3.8,97.7,0.6,265766,152937,66457,67272,44547
2022-06,2022,June,1.25,9.4,3.6,98.9,0.6,263233,155426,62797,67655,44691
2022-07,2022,July,1.25,10.1,3.6,100.8,0.1,265998,158934,62524,68095,44830
2022-08,2022,August,1.75,9.9,3.7,101.6,0.1,268063,160920,71925,68011,45033
2022-09,2022,September,2.25,10.1,3.8,101.8,0.1,269859,164371,64666,68539,45181
2022-10,2022,October,2.25,11.1,3.9,101.8,0.3,318384,176401,57790,68474,45159
2022-11,2022,November,3,10.7,3.9,101.7,0.3,314863,187544,46661,68101,45465
2022-12,2022,December,3.5,10.5,3.9,100.9,0.3,313573,195960,41520,67858,45575
2023-01,2023,January,3.5,10.1,4,100,0.1,311421,204073,39884,69754,45780
2023-02,2023,February,4,10.4,4,99.2,0.1,305164,211130,43016,70215,46525
2023-03,2023,March,4.25,10.1,3.9,98.1,0.1,303167,218406,51247,70222,46650
2023-04,2023,April,4.25,8.7,4,98.3,0,298302,222518,49011,70550,47030
2023-05,2023,May,4.5,8.7,4.2,98.6,0,294355,227905,51046,70700,47380
2023-06,2023,June,5,7.9,4.3,99,0,315548,233579,54416,70776,47735
2023-07,2023,July,5,6.8,4.3,100.1,-0.2,312318,244446,49005,70945,47961
2023-08,2023,August,5.25,6.7,4.1,100.6,-0.2,303526,252767,45047,71265,48378
2023-09,2023,September,5.25,6.7,4,100.1,-0.2,300415,256723,43779,71316,48996
2023-10,2023,October,5.25,4.6,4,99.7,-0.3,298112,260401,48004,71672,49270
2023-11,2023,November,5.25,3.9,3.9,99,-0.3,295638,264403,50245,71987,49930
2023-12,2023,December,5.25,4,4.1,98.2,-0.3,295960,266886,52595,69380,50254
2024-01,2024,January,5.25,4,4.2,98.1,0.7,290397,269385,56258,70166,50308
2024-02,2024,February,5.25,3.4,4.3,97.6,0.7,293733,269954,60121,70517,50819
2024-03,2024,March,5.25,3.2,4.4,97.8,0.7,294441,272780,61801,70483,51065
2024-04,2024,April,5.25,2.3,4.4,98.3,0.6,295126,273090,61785,71077,50778
2024-05,2024,May,5.25,2,4.2,99.1,0.6,293538,272750,61075,71961,51194
2024-06,2024,June,5.25,2,4.2,99.5,0.6,293916,273263,60812,72322,51432
2024-07,2024,July,5.25,2.2,4.1,100.6,0.2,292492,273181,62130,72813,51534
2024-08,2024,August,5,2.2,4.3,101.6,0.2,294184,273072,64744,73098,51815
2024-09,2024,September,5,1.7,4.3,101.5,0.2,294559,273016,65140,73683,52157
2024-10,2024,October,5,2.3,4.4,101.7,0.4,297126,272798,67686,73060,52500
2024-11,2024,November,4.75,2.6,4.4,101.4,0.4,300771,269768,65787,72845,52313
2024-12,2024,December,4.75,2.5,4.4,101.2,0.4,301370,269740,67098,73657,52675
2025-01,2025,January,4.75,3,4.4,101.5,0.6,300013,268459,66691,73979,53039
2025-02,2025,February,4.5,2.8,4.5,101.5,0.6,300086,267544,65238,74254,53487
2025-03,2025,March,4.5,2.6,4.6,102.7,0.6,304547,268831,64385,74113,53718
2025-04,2025,April,4.5,3.5,4.7,99.7,0.1,296803,269817,60510,74300,54128
2025-05,2025,May,4.25,3.4,4.7,101,0.1,297854,268234,62987,74681,54462
2025-06,2025,June,4.25,3.6,4.7,102.1,0.1,297037,267945,64095,75402,54614
2025-07,2025,July,4.25,3.8,4.8,103,0.2,299012,265642,64890,75753,55198
2025-08,2025,August,4,3.8,5,103.9,0.2,299456,263815,64468,76163,55569
2025-09,2025,September,4,3.8,5.1,103.6,0.2,300172,262299,65432,76459,55824
2025-10,2025,October,4,3.6,5.1,104,0.2,298370,262686,64561,76995,56226
2025-11,2025,November,4,3.2,5.2,104.3,0.2,300654,261181,64544,77654,56567
2025-12,2025,December,3.75,3.4,5.2,102.9,0.2,298697,261025,61626,78640,57013
