Date,Month_year,YEAR,Monthly amounts outstanding of monetary financial institutions' sterling net lending  to household sector (in sterling millions) seasonally adjusted  LPMBC44,Monthly amounts outstanding of monetary financial institutions' sterling consumer credit lending excluding securitisations to individuals (in sterling millions) seasonally adjusted LPMBC46,Monthly amounts outstanding of monetary financial institutions' sterling net credit card lending to individuals (in sterling millions) seasonally adjusted  LPMBC53,Monthly amounts outstanding of monetary financial institutions' sterling consumer credit (excluding credit card) excluding securitisations to individuals (in sterling millions) seasonally adjusted  LPMBC54,Monthly amounts outstanding of monetary financial institutions' sterling net secured lending to individuals (in sterling millions) seasonally adjusted  LPMBC55,"Monthly amounts outstanding of monetary financial institutions' sterling net consumer credit loans (excluding credit card and overdrafts) excluding securitisations to individuals (in sterling millions) seasonally adjusted  	LPMZ5G7"
31-Jul-16,Jul-16,16,1295689,125097,51994,73102,1140066,65030
30-Jun-16,Jun-16,16,1292009,124428,51762,72666,1136947,64548
31-May-16,May-16,16,1288172,123530,51522,72008,1133916,63965
30-Apr-16,Apr-16,16,1284879,122832,51224,71608,1131251,63456
31-Mar-16,Mar-16,16,1277203,122580,51305,71275,1123602,62939
29-Feb-16,Feb-16,16,1269969,121853,50895,70958,1117027,62405
31-Jan-16,Jan-16,16,1265990,121138,50944,70195,1113705,61877
31-Dec-17,Dec-17,17,1366092,132914,54828,78086,1204696,69083
30-Nov-17,Nov-17,17,1362453,132387,54641,77745,1201541,69034
31-Oct-17,Oct-17,17,1358692,132130,54376,77754,1197910,68875
30-Sep-17,Sep-17,17,1355665,131763,54223,77540,1194957,68736
31-Aug-17,Aug-17,17,1345720,131362,53943,77420,1185498,68839
31-Jul-17,Jul-17,17,1341989,131111,53843,77268,1181793,68811
30-Jun-17,Jun-17,17,1338627,130924,53618,77307,1178367,68768
31-May-17,May-17,17,1334306,130830,53467,77363,1173915,68796
30-Apr-17,Apr-17,17,1329281,130255,53464,76791,1169359,68767
31-Mar-17,Mar-17,17,1326558,130365,53165,77200,1166465,68763
28-Feb-17,Feb-17,17,1322096,129364,52923,76441,1162912,67981
31-Jan-17,Jan-17,17,1317436,128592,52700,75892,1159020,67752
31-Dec-18,Dec-18,18,1408497,134535,55603,78932,1246300,70191
30-Nov-18,Nov-18,18,1405085,134328,55566,78762,1243064,70102
31-Oct-18,Oct-18,18,1402014,134122,55488,78634,1240077,70053
30-Sep-18,Sep-18,18,1396014,134634,55507,79127,1233453,70381
31-Aug-18,Aug-18,18,1391407,133794,55445,78349,1229530,69817
31-Jul-18,Jul-18,18,1388787,133658,55357,78300,1226926,69695
30-Jun-18,Jun-18,18,1385668,133748,55412,78336,1223571,69631
31-May-18,May-18,18,1382230,133440,55215,78225,1220437,69469
30-Apr-18,Apr-18,18,1379202,133342,55087,78255,1217363,69404
31-Mar-18,Mar-18,18,1376260,133085,54898,78187,1214681,69525
28-Feb-18,Feb-18,18,1372313,133523,55044,78479,1210326,69624
31-Jan-18,Jan-18,18,1368700,132391,54717,77674,1207706,69007
31-Dec-19,Dec-19,19,1448468,131954,55130,76824,1289884,69137
30-Nov-19,Nov-19,19,1443958,133402,54810,78592,1283855,70744
31-Oct-19,Oct-19,19,1440966,133647,55258,78389,1280614,70500
30-Sep-19,Sep-19,19,1437312,133825,55266,78559,1276512,70747
31-Aug-19,Aug-19,19,1433969,133873,55321,78552,1273042,70743
31-Jul-19,Jul-19,19,1430031,133951,55454,78497,1268906,70596
30-Jun-19,Jun-19,19,1426621,134393,56031,78362,1264999,70344
31-May-19,May-19,19,1423574,134237,56063,78174,1262038,70383
30-Apr-19,Apr-19,19,1420978,134170,55954,78216,1259432,70311
31-Mar-19,Mar-19,19,1417911,134372,55950,78422,1255976,70369
28-Feb-19,Feb-19,19,1414453,134135,55943,78192,1252691,70282
31-Jan-19,Jan-19,19,1411433,134675,55659,79016,1249274,70281
31-Dec-20,Dec-20,20,1475243,112381,44038,68344,1328329,62674
30-Nov-20,Nov-20,20,1469719,113164,44361,68804,1322575,62942
31-Oct-20,Oct-20,20,1464932,114722,45361,69361,1316562,63443
30-Sep-20,Sep-20,20,1460445,115849,45934,69915,1311299,64008
31-Aug-20,Aug-20,20,1456979,117186,46719,70467,1307100,64539
31-Jul-20,Jul-20,20,1454809,118063,46832,71231,1304475,65086
30-Jun-20,Jun-20,20,1451908,118200,46359,71841,1302277,65571
31-May-20,May-20,20,1449598,119273,46824,72450,1301000,66367
30-Apr-20,Apr-20,20,1450071,122408,48469,73939,1300844,67139
31-Mar-20,Mar-20,20,1456977,128990,52819,76170,1301141,69085
29-Feb-20,Feb-20,20,1455915,131694,54850,76845,1297349,69243
31-Jan-20,Jan-20,20,1451928,131782,54981,76802,1293568,69098
31-Dec-21,Dec-21,21,1531760,109011,43158,65853,1390713,59445
30-Nov-21,Nov-21,21,1528468,108676,43091,65585,1387509,59168
31-Oct-21,Oct-21,21,1525061,108076,42868,65209,1384405,58988
30-Sep-21,Sep-21,21,1524711,109620,42562,67058,1382044,61062
31-Aug-21,Aug-21,21,1515769,109086,41990,67097,1373381,61025
31-Jul-21,Jul-21,21,1513306,108887,42009,66877,1370858,60867
30-Jun-21,Jun-21,21,1514998,108434,41505,66929,1372755,60993
31-May-21,May-21,21,1499522,108579,41562,67018,1356937,61094
30-Apr-21,Apr-21,21,1495156,108300,41129,67170,1352672,61274
31-Mar-21,Mar-21,21,1492988,108463,41219,67244,1350067,61243
28-Feb-21,Feb-21,21,1483656,108826,41359,67467,1340191,61568
31-Jan-21,Jan-21,21,1477945,109625,41956,67669,1333854,62008
31-Dec-22,Dec-22,22,1590849,113433,45575,67858,1448794,61615
30-Nov-22,Nov-22,22,1587500,113565,45465,68101,1444969,62235
31-Oct-22,Oct-22,22,1584017,113633,45159,68474,1441221,62344
30-Sep-22,Sep-22,22,1580770,113720,45181,68539,1437472,62149
31-Aug-22,Aug-22,22,1574578,113044,45033,68011,1431560,61602
31-Jul-22,Jul-22,22,1569515,112925,44830,68095,1426626,61498
30-Jun-22,Jun-22,22,1564913,112346,44691,67655,1422193,61149
31-May-22,May-22,22,1559937,111818,44547,67272,1417499,60816
30-Apr-22,Apr-22,22,1553516,111155,44248,66907,1411465,60428
31-Mar-22,Mar-22,22,1549264,110536,43932,66604,1407394,60051
28-Feb-22,Feb-22,22,1542782,109911,43517,66394,1401327,59894
31-Jan-22,Jan-22,22,1537503,108934,42767,66166,1396801,59616
31-Dec-23,Dec-23,23,1598689,119634,50254,69380,1453122,63494
30-Nov-23,Nov-23,23,1602086,121917,49930,71987,1454166,66088
31-Oct-23,Oct-23,23,1602030,120942,49270,71672,1454791,65763
30-Sep-23,Sep-23,23,1600997,120312,48996,71316,1454089,65514
31-Aug-23,Aug-23,23,1601269,119643,48378,71265,1454812,65271
31-Jul-23,Jul-23,23,1599750,118906,47961,70945,1453809,65013
30-Jun-23,Jun-23,23,1598550,118510,47735,70776,1452784,64770
31-May-23,May-23,23,1598832,118080,47380,70700,1453101,64462
30-Apr-23,Apr-23,23,1597824,117580,47030,70550,1452652,64242
31-Mar-23,Mar-23,23,1598719,116872,46650,70222,1454011,63932
28-Feb-23,Feb-23,23,1596973,116740,46525,70215,1452069,63760
31-Jan-23,Jan-23,23,1595283,115534,45780,69754,1451436,63571
31-Dec-24,Dec-24,24,1622828,126332,52675,73657,1472728,67690
30-Nov-24,Nov-24,24,1621953,125158,52313,72845,1473010,67153
31-Oct-24,Oct-24,24,1619946,125560,52500,73060,1470405,67031
30-Sep-24,Sep-24,24,1617581,125840,52157,73683,1467469,67802
31-Aug-24,Aug-24,24,1613650,124913,51815,73098,1464580,67191
31-Jul-24,Jul-24,24,1610517,124347,51534,72813,1461847,66917
30-Jun-24,Jun-24,24,1607159,123754,51432,72322,1458977,66469
31-May-24,May-24,24,1604534,123155,51194,71961,1456773,66048
30-Apr-24,Apr-24,24,1603688,121855,50778,71077,1456568,65224
31-Mar-24,Mar-24,24,1601872,121549,51065,70483,1454934,64868
29-Feb-24,Feb-24,24,1602532,121336,50819,70517,1455582,64394
31-Jan-24,Jan-24,24,1600426,120474,50308,70166,1454139,64173
31-Dec-25,Dec-25,25,1681615,135653,57013,78640,1524106,72639
30-Nov-25,Nov-25,25,1675840,134221,56567,77654,1519710,71623
31-Oct-25,Oct-25,25,1672294,133221,56226,76995,1517100,71018
30-Sep-25,Sep-25,25,1667115,132283,55824,76459,1512716,70453
31-Aug-25,Aug-25,25,1662763,131732,55569,76163,1508703,70120
31-Jul-25,Jul-25,25,1658021,130951,55198,75753,1504471,69718
30-Jun-25,Jun-25,25,1652825,130016,54614,75402,1500261,69123
31-May-25,May-25,25,1647399,129143,54462,74681,1495500,68724
30-Apr-25,Apr-25,25,1643975,128427,54128,74300,1492574,68265
31-Mar-25,Mar-25,25,1644813,127831,53718,74113,1493777,68151
28-Feb-25,Feb-25,25,1632968,127742,53487,74254,1481861,68339
31-Jan-25,Jan-25,25,1628259,127018,53039,73979,1477824,68004
